tanks,Avg. Battles,Damage Per Game,WN8,Win Rate,Ace Mastery %
Type 59,686,"1,108","1,574.21",51.58%,41%
T34,642,"1,163","1,405.01",49.84%,47%
B-C 25 t,407,"1,940","1,841.07",50.60%,36%
B-C 155 58,397,"1,419","1,310.01",48.95%,42%
Obj. 261,380,"1,592","1,468.68",49.74%,39%
IS-3,379,"1,124","1,292.15",49.97%,42%
AMX 13 90,373,866,"1,337.54",50.33%,42%
E 25,363,992,"1,558.87",51.75%,37%
T95/FV4201,354,"3,025","2,386.64",57.54%,32%
FV215b 183,354,"1,959","1,515.63",48.74%,40%
M53/M55,350,"1,406","1,436.16",50.05%,40%
G.W. E 100,344,"1,548","1,385.96",49.09%,38%
T26E4,341,"1,009","1,288.85",49.53%,38%
SU-130PM,340,"1,489","1,551.73",50.84%,34%
Rhm.-B. WT,337,"1,348","1,386.61",49.51%,41%
T49,332,907,"1,373.81",49.70%,36%
KV-85,312,635,"1,067.87",50.28%,37%
Progetto 46,312,"1,408","1,701.24",51.42%,27%
WZ-111,309,"1,262","1,616.55",52.12%,38%
Lowe,307,"1,127","1,309.05",49.49%,27%
