tanks,Avg. Battles,Damage Per Game,WN8,Win Rate,Ace Mastery %
Obj. 279 (e),217,"3,056","2,180.13",59.83%,28%
T95/FV4201,354,"3,025","2,386.64",57.54%,32%
Carro 45 t,107,"2,800","2,349.66",56.40%,30%
114 SP2,87,"2,762","2,107.47",54.11%,17%
VK 72.01 K,161,"2,712","2,192.35",56.67%,28%
116-F3,39,"2,616","2,066.25",53.61%,17%
T95E6,100,"2,565","2,375.77",54.96%,29%
Obj. 907,260,"2,530","2,288.56",56.84%,35%
Ho-Ri 3,46,"2,529","1,813.36",53.29%,9%
Obj. 260,151,"2,488","2,214.56",54.21%,28%
Concept 1B,112,"2,448","2,231.28",57.94%,27%
Vz. 55,118,"2,445","1,875.49",50.98%,19%
AMX M4 54,88,"2,344","1,847.18",51.25%,16%
Obj. 780,62,"2,343","1,826.06",50.74%,16%
BZ-75,36,"2,271","1,800.08",50.60%,9%
WT E 100,219,"2,256","1,665.82",49.07%,26%
WZ-111 5A,100,"2,226","1,921.65",50.86%,17%
Kpz. 07 P(E),32,"2,195","1,729.32",50.91%,9%
WZ-111 QL,52,"2,184","1,834.85",50.47%,16%
Lion,58,"2,174","1,834.41",50.34%,12%
